sample,r,s,t,u,v,w,moisture(g)
277,244.82,26.57,85.86,55.61,44.39,26.94,9.14
278,211.8,25.55,85.08,53.08,39.36,21.33,8.19
279,989.53,91.96,88.98,58.14,65.33,40.41,10.5
280,868.82,91.96,103.03,64.04,70.35,39.29,8.32
281,401.96,38.83,83.52,46.34,34.34,17.96,9.59
282,843.77,74.59,99.91,58.98,59.47,32.55,8.77
283,674.11,54.16,96.01,58.98,56.95,30.31,7.65
284,620.59,44.96,101.47,64.04,58.63,31.43,6.66
285,647.92,62.33,96.01,54.77,48.58,24.69,9.61
286,470.28,43.94,102.25,57.3,44.39,22.45,8.22
287,322.25,33.72,85.08,46.34,33.5,16.84,7.69
288,300.62,31.68,97.57,53.93,36.85,17.96,6.12
289,766.34,68.46,95.23,50.56,46.9,22.45,12.95
290,285.81,31.68,95.23,52.24,36.01,16.84,6.07
291,836.94,78.68,91.33,51.4,49.42,25.82,10.38
292,923.48,86.86,85.86,48.03,51.09,25.82,9.38
293,1023.69,81.75,81.96,44.66,50.25,23.57,10.41
294,479.39,45.98,88.98,42.97,30.99,13.47,10.63
295,750.4,71.53,85.86,48.47,48.58,24.69,8.53
296,493.05,39.85,81.18,43.82,35.18,16.84,10.59
297,386.02,38.83,78.84,45.5,36.85,20.2,11.17
298,267.59,30.65,84.3,48.03,34.34,19.08,11.25
299,596.68,52.11,92.89,49.71,42.72,20.2,10.09
300,371.21,32.7,88.98,44.66,30.99,13.47,9.77
